DATE,SALES,COST_OF_SALES,QUANTITY_SOLD
2013-12-30,223937.96790,230079.62100,6827
2013-12-31,300345.48460,306986.12050,9268
2014-01-01,86782.46773,87986.31821,2678
2014-01-02,200173.11680,202881.17770,6175
2014-01-03,326906.07420,333806.29190,10084
2014-01-04,307043.93540,313652.34830,9470
2014-01-05,179188.88450,183083.28500,5524
2014-01-06,306351.95090,313446.06810,9448
2014-01-07,224020.41000,229533.97370,6911
2014-01-08,101836.40220,99381.96752,2990
2014-01-09,107804.30490,104816.45850,3159
2014-01-10,144829.95670,141333.99630,4246
2014-01-11,146571.48240,143179.67000,4297
2014-01-12,95422.37298,93126.14724,2796
2014-01-13,114883.17380,112186.30870,3369
2014-01-14,80090.80008,78096.76018,2348
2014-01-15,98945.37116,97159.00259,2903
2014-01-16,84904.90171,83350.43316,2491
2014-01-17,135460.61970,132703.33540,3968
2014-01-18,149925.74970,146928.41180,4393
2014-01-19,74297.30718,72782.28432,2176
2014-01-20,83356.42456,81789.13612,2443
2014-01-21,89922.01429,88388.91607,2638
2014-01-22,57806.30278,57157.28254,1704
2014-01-23,63977.75035,62863.98724,1872
2014-01-24,116958.79980,114823.79520,3423
2014-01-25,155272.82480,152636.27660,4544
2014-01-26,82885.21591,81583.16695,2426
2014-01-27,72353.42588,71377.15646,2117
2014-01-28,50415.90376,49769.09824,1476
2014-01-29,67458.30189,66529.44200,1974
2014-01-30,64640.36931,63757.83987,1892
2014-01-31,137693.87350,135609.50760,4030
2014-02-01,181209.12850,178435.71530,5304
2014-02-02,113433.58100,111466.51680,3320
2014-02-03,143192.53340,140505.63470,4191
2014-02-04,130126.64990,128496.28770,3809
2014-02-05,187155.86850,195078.60330,5764
2014-02-06,102314.70960,101977.99000,3028
2014-02-07,301553.84260,313529.18770,9284
2014-02-08,316073.17750,329754.77950,9737
2014-02-09,135178.04260,141530.70870,4163
2014-02-10,147727.51620,154828.68460,4552
2014-02-11,135498.74640,139824.16160,4172
2014-02-12,163432.84520,166893.36890,5037
2014-02-13,138291.63330,141027.43450,4259
2014-02-14,336901.37170,343519.87550,10381
2014-02-15,367729.26820,373973.59330,11332
2014-02-16,133913.84140,136797.07740,4127
2014-02-17,150800.34700,152887.10640,4649
2014-02-18,55591.93034,53463.24421,1627
2014-02-19,106427.19180,107736.44410,3281
2014-02-20,78940.55442,75934.39482,2310
2014-02-21,317916.31790,322089.78900,9802
2014-02-22,309217.87560,320116.92430,9772
2014-02-23,138491.55000,140752.60160,4270
2014-02-24,133146.22220,134505.40420,4106
2014-02-25,224994.65620,227546.44660,6937
2014-02-26,225051.59150,228214.14210,6934
2014-02-27,344299.68240,365935.65300,11082
2014-02-28,661876.50000,686656.79100,20805
2014-03-01,846678.38820,872081.58500,26410
2014-03-02,478902.30490,495554.44990,15004
